locus_tag	ftype	length_bp	gene	EC_number	COG	product
PL25_01051	gene	1179				
PL25_01051	CDS	1179				hypothetical protein
PL25_01052	gene	381				
PL25_01052	CDS	381				hypothetical protein
PL25_01053	gene	180				
PL25_01053	CDS	180				hypothetical protein
PL25_01054	gene	588				
PL25_01054	CDS	588				hypothetical protein
PL25_01055	gene	261				
PL25_01055	CDS	261				hypothetical protein
PL25_01056	gene	234				
PL25_01056	CDS	234				hypothetical protein
PL25_01057	gene	225				
PL25_01057	CDS	225				hypothetical protein
PL25_01058	gene	732				
PL25_01058	CDS	732				hypothetical protein
PL25_01059	gene	171				
PL25_01059	CDS	171				hypothetical protein
PL25_01060	gene	219				
PL25_01060	CDS	219				hypothetical protein
PL25_01061	gene	645	lexA_2			
PL25_01061	CDS	645	lexA_2	3.4.21.88		LexA repressor
PL25_01062	gene	1038	xerC_2			
PL25_01062	CDS	1038	xerC_2			Tyrosine recombinase XerC
PL25_01063	gene	531	spmB			
PL25_01063	CDS	531	spmB		COG0700	Spore maturation protein B
PL25_01064	gene	585	spmA			
PL25_01064	CDS	585	spmA		COG2715	Spore maturation protein A
PL25_01065	gene	1113	dacB			
PL25_01065	CDS	1113	dacB	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacB
PL25_01066	gene	68				
PL25_01066	misc_RNA	68				Bacillaceae-1
PL25_01067	gene	162				
PL25_01067	CDS	162				hypothetical protein
PL25_01068	gene	879				
PL25_01068	CDS	879				hypothetical protein
PL25_01069	gene	597	scpB			
PL25_01069	CDS	597	scpB		COG1386	Segregation and condensation protein B
PL25_01070	gene	738	scpA			
PL25_01070	CDS	738	scpA		COG1354	Segregation and condensation protein A
PL25_01071	gene	90				
PL25_01071	CDS	90				hypothetical protein
PL25_01072	gene	372	ribT			
PL25_01072	CDS	372	ribT	2.3.1.-	COG0456	Protein RibT
PL25_01073	gene	465				
PL25_01073	CDS	465				hypothetical protein
PL25_01074	gene	435	ppiB			
PL25_01074	CDS	435	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
PL25_01075	gene	1308	lysA			
PL25_01075	CDS	1308	lysA	4.1.1.20	COG1166	Diaminopimelate decarboxylase
PL25_01076	gene	1482				
PL25_01076	CDS	1482				hypothetical protein
PL25_01077	gene	429				
PL25_01077	CDS	429				hypothetical protein
PL25_01078	gene	618				
PL25_01078	CDS	618				hypothetical protein
PL25_01079	gene	756	sigF			
PL25_01079	CDS	756	sigF		COG1191	RNA polymerase sigma-F factor
PL25_01080	gene	441	spoIIAB			
PL25_01080	CDS	441	spoIIAB	2.7.11.1	COG2172	Anti-sigma F factor
PL25_01081	gene	354	spoIIAA			
PL25_01081	CDS	354	spoIIAA		COG1366	Anti-sigma F factor antagonist
PL25_01082	gene	1173	dacF			
PL25_01082	CDS	1173	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
PL25_01083	gene	1305	pdp			
PL25_01083	CDS	1305	pdp	2.4.2.2		Pyrimidine-nucleoside phosphorylase
PL25_01084	gene	828	punA			
PL25_01084	CDS	828	punA	2.4.2.1		Purine nucleoside phosphorylase 1
PL25_01085	gene	1194	deoB_2			
PL25_01085	CDS	1194	deoB_2	5.4.2.7		Phosphopentomutase
PL25_01086	gene	894	xerD			
PL25_01086	CDS	894	xerD			Tyrosine recombinase XerD
PL25_01087	gene	207				
PL25_01087	CDS	207				hypothetical protein
PL25_01088	gene	459	fur			
PL25_01088	CDS	459	fur		COG0735	Ferric uptake regulation protein
PL25_01089	gene	636	spoIIM			
PL25_01089	CDS	636	spoIIM		COG1300	Stage II sporulation protein M
PL25_01090	gene	1170				
PL25_01090	CDS	1170				hypothetical protein
PL25_01091	gene	546	nudF			
PL25_01091	CDS	546	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
PL25_01092	gene	912	ydjG			
PL25_01092	CDS	912	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
PL25_01093	gene	336				
PL25_01093	CDS	336				hypothetical protein
PL25_01094	gene	798	ydfG			
PL25_01094	CDS	798	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
PL25_01095	gene	969				
PL25_01095	CDS	969				hypothetical protein
PL25_01096	gene	1623	rocB			
PL25_01096	CDS	1623	rocB		COG4187	Protein RocB
PL25_01097	gene	735	UgpQ_1			
PL25_01097	CDS	735	UgpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
PL25_01098	gene	1284				
PL25_01098	CDS	1284				IS110 family transposase IS653
PL25_01099	gene	1026	namA			
PL25_01099	CDS	1026	namA	1.6.99.1	COG1902	NADPH dehydrogenase
PL25_01100	gene	918	rnz			
PL25_01100	CDS	918	rnz	3.1.26.11	COG1234	Ribonuclease Z
PL25_01101	gene	1371	aldH1			
PL25_01101	CDS	1371	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
PL25_01102	gene	1248	dinB_2			
PL25_01102	CDS	1248	dinB_2	2.7.7.7	COG0389	DNA polymerase IV
PL25_01103	gene	1125	pepT_1			
PL25_01103	CDS	1125	pepT_1	3.4.11.4	COG2195	Peptidase T
PL25_01104	gene	1551	mmdA_2			
PL25_01104	CDS	1551	mmdA_2	7.2.4.3		Methylmalonyl-CoA decarboxylase subunit alpha
PL25_01105	gene	423	epi			
PL25_01105	CDS	423	epi	5.1.99.-	COG0346	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
PL25_01106	gene	68				
PL25_01106	misc_RNA	68				Bacillaceae-1
PL25_01107	gene	108				
PL25_01107	CDS	108				hypothetical protein
PL25_01108	gene	981				
PL25_01108	CDS	981				hypothetical protein
PL25_01109	gene	432	brxB			
PL25_01109	CDS	432	brxB			Bacilliredoxin BrxB
PL25_01110	gene	1272	pdhC_3			
PL25_01110	CDS	1272	pdhC_3	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
PL25_01111	gene	984	bfmBAB_2			
PL25_01111	CDS	984	bfmBAB_2	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
PL25_01112	gene	993	bfmBAA			
PL25_01112	CDS	993	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
PL25_01113	gene	1422	pdhD_2			
PL25_01113	CDS	1422	pdhD_2	1.8.1.4		Dihydrolipoyl dehydrogenase
PL25_01114	gene	1080	buk2			
PL25_01114	CDS	1080	buk2	2.7.2.7	COG3426	Butyrate kinase 2
PL25_01115	gene	1095	ldh_1			
PL25_01115	CDS	1095	ldh_1	1.4.1.9		Leucine dehydrogenase
PL25_01116	gene	915	ptb			
PL25_01116	CDS	915	ptb	2.3.1.19	COG0280	Phosphate butyryltransferase
PL25_01117	gene	2064	norR_1			
PL25_01117	CDS	2064	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
PL25_01118	gene	249				
PL25_01118	CDS	249				hypothetical protein
PL25_01119	gene	1347	yclM			
PL25_01119	CDS	1347	yclM	2.7.2.4	COG0527	Aspartokinase 3
PL25_01120	gene	777	spo0A			
PL25_01120	CDS	777	spo0A		COG0745	Stage 0 sporulation protein A
PL25_01121	gene	1296	spoIVB			
PL25_01121	CDS	1296	spoIVB	3.4.21.116	COG0750	SpoIVB peptidase
PL25_01122	gene	1770	recN			
PL25_01122	CDS	1770	recN		COG0497	DNA repair protein RecN
PL25_01123	gene	450	argR			
PL25_01123	CDS	450	argR		COG1438	Arginine repressor
PL25_01124	gene	831	tlyA			
PL25_01124	CDS	831	tlyA			Hemolysin A
PL25_01125	gene	576				
PL25_01125	CDS	576				hypothetical protein
PL25_01126	gene	626				
PL25_01126	misc_RNA	626				OLE
PL25_01127	gene	891				
PL25_01127	CDS	891		2.5.1.10		Farnesyl diphosphate synthase
PL25_01128	gene	231	xseB			
PL25_01128	CDS	231	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
PL25_01129	gene	1341	xseA			
PL25_01129	CDS	1341	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
PL25_01130	gene	855	folD			
PL25_01130	CDS	855	folD		COG0190	Bifunctional protein FolD protein
PL25_01131	gene	381	nusB			
PL25_01131	CDS	381	nusB		COG0781	Transcription antitermination protein NusB
PL25_01132	gene	387				
PL25_01132	CDS	387				putative protein
PL25_01133	gene	1362	accC			
PL25_01133	CDS	1362	accC	6.3.4.14	COG0439	Biotin carboxylase
PL25_01134	gene	498	accB			
PL25_01134	CDS	498	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
PL25_01135	gene	621	spoIIIAH			
PL25_01135	CDS	621	spoIIIAH			Stage III sporulation protein AH
PL25_01136	gene	639				
PL25_01136	CDS	639				hypothetical protein
PL25_01137	gene	621	spoIIIAF			
PL25_01137	CDS	621	spoIIIAF			Stage III sporulation protein AF
PL25_01138	gene	1176	spoIIIAE			
PL25_01138	CDS	1176	spoIIIAE			Stage III sporulation protein AE
PL25_01139	gene	393				
PL25_01139	CDS	393				hypothetical protein
PL25_01140	gene	207				
PL25_01140	CDS	207				hypothetical protein
PL25_01141	gene	513	spoIIIAB			
PL25_01141	CDS	513	spoIIIAB			Stage III sporulation protein AB
PL25_01142	gene	921				
PL25_01142	CDS	921				hypothetical protein
PL25_01143	gene	558	efp			
PL25_01143	CDS	558	efp		COG0231	Elongation factor P
PL25_01144	gene	1062	ypdF			
PL25_01144	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
PL25_01145	gene	510				
PL25_01145	CDS	510				hypothetical protein
PL25_01146	gene	381				
PL25_01146	CDS	381				hypothetical protein
PL25_01147	gene	894				
PL25_01147	CDS	894				hypothetical protein
PL25_01148	gene	675				
PL25_01148	CDS	675				IS3 family transposase ISEnfa5
PL25_01149	gene	360				
PL25_01149	CDS	360				IS3 family transposase ISEnfa5
PL25_01150	gene	423	mntR			
PL25_01150	CDS	423	mntR		COG1321	HTH-type transcriptional regulator MntR
PL25_01151	gene	366	glpE_2			
PL25_01151	CDS	366	glpE_2	2.8.1.1		Thiosulfate sulfurtransferase GlpE
PL25_01152	gene	1467	gcvPB			
PL25_01152	CDS	1467	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
PL25_01153	gene	1350	gcvPA			
PL25_01153	CDS	1350	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
PL25_01154	gene	1116	gcvT			
PL25_01154	CDS	1116	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
PL25_01155	gene	109				
PL25_01155	misc_RNA	109				Glycine
PL25_01156	gene	1665	rapA_1			
PL25_01156	CDS	1665	rapA_1	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
PL25_01157	gene	780				
PL25_01157	CDS	780				hypothetical protein
PL25_01158	gene	189				
PL25_01158	CDS	189				hypothetical protein
PL25_01159	gene	1029	comGA			
PL25_01159	CDS	1029	comGA		COG2804	Competence protein ComGA
PL25_01160	gene	1053				
PL25_01160	CDS	1053				hypothetical protein
PL25_01161	gene	312				
PL25_01161	CDS	312				hypothetical protein
PL25_01162	gene	453				
PL25_01162	CDS	453				hypothetical protein
PL25_01163	gene	339				
PL25_01163	CDS	339				hypothetical protein
PL25_01164	gene	447				
PL25_01164	CDS	447				hypothetical protein
PL25_01165	gene	384				
PL25_01165	CDS	384				hypothetical protein
PL25_01166	gene	243				
PL25_01166	CDS	243				hypothetical protein
PL25_01167	gene	624	gloC			
PL25_01167	CDS	624	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
PL25_01168	gene	171				
PL25_01168	CDS	171				hypothetical protein
PL25_01169	gene	456				
PL25_01169	CDS	456				IS200/IS605 family transposase ISAac3
PL25_01170	gene	1908	ltaS2			
PL25_01170	CDS	1908	ltaS2		COG1368	Lipoteichoic acid synthase 2
PL25_01171	gene	975	glcK			
PL25_01171	CDS	975	glcK	2.7.1.2	COG1940	Glucokinase
PL25_01172	gene	276				
PL25_01172	CDS	276				hypothetical protein
PL25_01173	gene	1458	gerBA_1			
PL25_01173	CDS	1458	gerBA_1		COG0697	Spore germination protein B1
PL25_01174	gene	861				
PL25_01174	CDS	861				hypothetical protein
PL25_01175	gene	1548	gluP			
PL25_01175	CDS	1548	gluP	3.4.21.105	COG0457	Rhomboid protease GluP
PL25_01176	gene	195				
PL25_01176	CDS	195				hypothetical protein
PL25_01177	gene	585	yqgN			
PL25_01177	CDS	585	yqgN		COG0212	putative protein YqgN
PL25_01178	gene	150	rpmG1			
PL25_01178	CDS	150	rpmG1		COG0267	Large ribosomal subunit protein bL33A
PL25_01179	gene	216	tatAd_3			
PL25_01179	CDS	216	tatAd_3		COG1826	Sec-independent protein translocase protein TatAd
PL25_01180	gene	1719				
PL25_01180	CDS	1719		1.1.99.3		Gluconate 2-dehydrogenase flavoprotein
PL25_01181	gene	753				
PL25_01181	CDS	753				hypothetical protein
PL25_01182	gene	687				
PL25_01182	CDS	687				hypothetical protein
PL25_01183	gene	177				
PL25_01183	CDS	177				hypothetical protein
PL25_01184	gene	213				
PL25_01184	CDS	213				hypothetical protein
PL25_01185	gene	228				
PL25_01185	CDS	228				hypothetical protein
PL25_01186	gene	420	mltG_1			
PL25_01186	CDS	420	mltG_1	4.2.2.29		Endolytic murein transglycosylase
PL25_01187	gene	1347				
PL25_01187	CDS	1347			COG3385	IS4 family transposase ISHaha1
PL25_01188	gene	657	phoU			
PL25_01188	CDS	657	phoU			Phosphate-specific transport system accessory protein PhoU 
PL25_01189	gene	654	pbpA_1			
PL25_01189	CDS	654	pbpA_1	3.4.16.4	COG0768	Penicillin-binding protein 2A
PL25_01190	gene	1464	pbpA_2			
PL25_01190	CDS	1464	pbpA_2	3.4.16.4	COG0768	Penicillin-binding protein 2A
PL25_01191	gene	1272				
PL25_01191	CDS	1272				hypothetical protein
PL25_01192	gene	612	sodA_1			
PL25_01192	CDS	612	sodA_1	1.15.1.1		Superoxide dismutase [Mn]
PL25_01193	gene	76				
PL25_01193	tRNA	76				tRNA-Phe(gaa)
PL25_01194	gene	93				
PL25_01194	tRNA	93				tRNA-Ser(tga)
PL25_01195	gene	77				
PL25_01195	tRNA	77				tRNA-Met(cat)
PL25_01196	gene	76				
PL25_01196	tRNA	76				tRNA-His(gtg)
PL25_01197	gene	77				
PL25_01197	tRNA	77				tRNA-Met(cat)
PL25_01198	gene	75				
PL25_01198	tRNA	75				tRNA-Asn(gtt)
PL25_01199	gene	1626				
PL25_01199	CDS	1626				hypothetical protein
PL25_01200	gene	163				
PL25_01200	misc_RNA	163				group-II-D1D4-3
PL25_01201	gene	633				
PL25_01201	CDS	633				hypothetical protein
PL25_01202	gene	348				
PL25_01202	CDS	348				hypothetical protein
PL25_01203	gene	375				
PL25_01203	CDS	375				hypothetical protein
PL25_01204	gene	285				
PL25_01204	CDS	285				hypothetical protein
PL25_01205	gene	894	nfo_1			
PL25_01205	CDS	894	nfo_1	3.1.21.2	COG0648	putative endonuclease 4
PL25_01206	gene	1308	cshB			
PL25_01206	CDS	1308	cshB	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshB
PL25_01207	gene	1110				
PL25_01207	CDS	1110				GTP cyclohydrolase 1 type 2 
PL25_01208	gene	729	trmK			
PL25_01208	CDS	729	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
PL25_01209	gene	378				
PL25_01209	CDS	378				hypothetical protein
PL25_01210	gene	525				
PL25_01210	CDS	525				hypothetical protein
PL25_01211	gene	1122	sigA			
PL25_01211	CDS	1122	sigA		COG0568	RNA polymerase sigma factor SigA
PL25_01212	gene	1815	dnaG			
PL25_01212	CDS	1815	dnaG	2.7.7.101	COG0358	DNA primase
PL25_01213	gene	804	yqfL			
PL25_01213	CDS	804	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
PL25_01214	gene	630	ccpN			
PL25_01214	CDS	630	ccpN		COG0517	Transcriptional repressor CcpN
PL25_01215	gene	2073	glyS			
PL25_01215	CDS	2073	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
PL25_01216	gene	879	glyQ			
PL25_01216	CDS	879	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
PL25_01217	gene	744	recO			
PL25_01217	CDS	744	recO		COG1381	DNA repair protein RecO
PL25_01218	gene	147				
PL25_01218	CDS	147				hypothetical protein
PL25_01219	gene	903	era			
PL25_01219	CDS	903	era		COG1159	GTPase Era
PL25_01220	gene	309	dgkA			
PL25_01220	CDS	309	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
PL25_01221	gene	465	ybeY			
PL25_01221	CDS	465	ybeY	3.1.-.-		Endoribonuclease YbeY
PL25_01222	gene	2142	pgpH			
PL25_01222	CDS	2142	pgpH	3.1.4.59		Cyclic-di-AMP phosphodiesterase PgpH
PL25_01223	gene	960				
PL25_01223	CDS	960			COG1702	PhoH-like protein
PL25_01224	gene	1221				
PL25_01224	CDS	1221				hypothetical protein
PL25_01225	gene	285				
PL25_01225	CDS	285				hypothetical protein
PL25_01226	gene	528				
PL25_01226	CDS	528				hypothetical protein
PL25_01227	gene	996	floA			
PL25_01227	CDS	996	floA		COG4864	Flotillin-like protein FloA
PL25_01228	gene	1329				
PL25_01228	CDS	1329				hypothetical protein
PL25_01229	gene	74				
PL25_01229	misc_RNA	74				group-II-D1D4-1
PL25_01230	gene	172				
PL25_01230	misc_RNA	172				group-II-D1D4-3
PL25_01231	gene	456				
PL25_01231	CDS	456				IS200/IS605 family transposase ISAac3
PL25_01232	gene	450	yqeY			
PL25_01232	CDS	450	yqeY		COG1610	putative protein YqeY
PL25_01233	gene	177	rpsU			
PL25_01233	CDS	177	rpsU		COG0828	Small ribosomal subunit protein bS21
PL25_01234	gene	693	deoC			
PL25_01234	CDS	693	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
PL25_01235	gene	1347	mtaB			
PL25_01235	CDS	1347	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
PL25_01236	gene	759	rsmE			
PL25_01236	CDS	759	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
PL25_01237	gene	939	prmA			
PL25_01237	CDS	939	prmA	2.1.1.-		Ribosomal protein L11 methyltransferase
PL25_01238	gene	1128	dnaJ			
PL25_01238	CDS	1128	dnaJ		COG0484	Chaperone protein DnaJ
PL25_01239	gene	1836	dnaK			
PL25_01239	CDS	1836	dnaK		COG0443	Chaperone protein DnaK
PL25_01240	gene	600	grpE			
PL25_01240	CDS	600	grpE			Protein GrpE
PL25_01241	gene	1032	hrcA			
PL25_01241	CDS	1032	hrcA		COG1420	Heat-inducible transcription repressor HrcA
PL25_01242	gene	1155	hemW			
PL25_01242	CDS	1155	hemW		COG0635	Heme chaperone HemW
PL25_01243	gene	354				
PL25_01243	CDS	354				hypothetical protein
PL25_01244	gene	1809	lepA			
PL25_01244	CDS	1809	lepA	3.6.5.-		Elongation factor 4
PL25_01245	gene	318				
PL25_01245	CDS	318				hypothetical protein
PL25_01246	gene	1164				
PL25_01246	CDS	1164				hypothetical protein
PL25_01247	gene	1110	gpr			
PL25_01247	CDS	1110	gpr	3.4.24.78	COG0680	Germination protease
PL25_01248	gene	267	rpsT			
PL25_01248	CDS	267	rpsT		COG0268	Small ribosomal subunit protein bS20
PL25_01249	gene	1038	holA			
PL25_01249	CDS	1038	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
PL25_01250	gene	246				
PL25_01250	CDS	246				hypothetical protein
PL25_01251	gene	2274	comEC_1			
PL25_01251	CDS	2274	comEC_1		COG0658	ComE operon protein 3
PL25_01252	gene	570				
PL25_01252	CDS	570				hypothetical protein
PL25_01253	gene	606	comEA			
PL25_01253	CDS	606	comEA		COG1555	ComE operon protein 1
PL25_01254	gene	756	ubiE_1			
PL25_01254	CDS	756	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
PL25_01255	gene	357	rsfS			
PL25_01255	CDS	357	rsfS		COG0799	Ribosomal silencing factor RsfS
PL25_01256	gene	576				
PL25_01256	CDS	576		3.6.1.41	COG1713	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
PL25_01257	gene	567	nadD			
PL25_01257	CDS	567	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
PL25_01258	gene	291	yhbY			
PL25_01258	CDS	291	yhbY		COG1534	RNA-binding protein YhbY
PL25_01259	gene	840	aroE			
PL25_01259	CDS	840	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
PL25_01260	gene	1101	yqeH			
PL25_01260	CDS	1101	yqeH		COG1161	putative protein YqeH
PL25_01261	gene	516				
PL25_01261	CDS	516				hypothetical protein
PL25_01262	gene	66				
PL25_01262	misc_RNA	66				Bacillaceae-1
PL25_01263	gene	147	sda			
PL25_01263	CDS	147	sda			Sporulation inhibitor sda
PL25_01264	gene	2322	mrpA			
PL25_01264	CDS	2322	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
PL25_01265	gene	339	mrpC			
PL25_01265	CDS	339	mrpC		COG1006	Na(+)/H(+) antiporter subunit C
PL25_01266	gene	1482	mrpD			
PL25_01266	CDS	1482	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
PL25_01267	gene	477	mrpE			
PL25_01267	CDS	477	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
PL25_01268	gene	312	mrpF			
PL25_01268	CDS	312	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
PL25_01269	gene	381	mrpG			
PL25_01269	CDS	381	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
PL25_01270	gene	1479	murE_2			
PL25_01270	CDS	1479	murE_2	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
PL25_01271	gene	360	sigK_1			
PL25_01271	CDS	360	sigK_1			RNA polymerase sigma-K factor
PL25_01272	gene	1500				
PL25_01272	CDS	1500				hypothetical protein
PL25_01273	gene	531				
PL25_01273	CDS	531				hypothetical protein
PL25_01274	gene	798				
PL25_01274	CDS	798				hypothetical protein
PL25_01275	gene	198				
PL25_01275	CDS	198				hypothetical protein
PL25_01276	gene	153				
PL25_01276	CDS	153				hypothetical protein
PL25_01277	gene	945	xlyA_2			
PL25_01277	CDS	945	xlyA_2	3.5.1.28	COG3409	N-acetylmuramoyl-L-alanine amidase XlyA
PL25_01278	gene	267				
PL25_01278	CDS	267				hypothetical protein
PL25_01279	gene	213				
PL25_01279	CDS	213				hypothetical protein
PL25_01280	gene	147				
PL25_01280	CDS	147				hypothetical protein
PL25_01281	gene	180				
PL25_01281	CDS	180				hypothetical protein
PL25_01282	gene	1911				
PL25_01282	CDS	1911				hypothetical protein
PL25_01283	gene	912				
PL25_01283	CDS	912				hypothetical protein
PL25_01284	gene	1932				
PL25_01284	CDS	1932				hypothetical protein
PL25_01285	gene	807				
PL25_01285	CDS	807				hypothetical protein
PL25_01286	gene	2436				
PL25_01286	CDS	2436				hypothetical protein
PL25_01287	gene	450				
PL25_01287	CDS	450				hypothetical protein
PL25_01288	gene	489				
PL25_01288	CDS	489				hypothetical protein
PL25_01289	gene	324				
PL25_01289	CDS	324				hypothetical protein
PL25_01290	gene	405				
PL25_01290	CDS	405				hypothetical protein
PL25_01291	gene	432				
PL25_01291	CDS	432				hypothetical protein
PL25_01292	gene	312				
PL25_01292	CDS	312				hypothetical protein
PL25_01293	gene	297				
PL25_01293	CDS	297				hypothetical protein
PL25_01294	gene	825				
PL25_01294	CDS	825				hypothetical protein
PL25_01295	gene	612				
PL25_01295	CDS	612				hypothetical protein
PL25_01296	gene	255				
PL25_01296	CDS	255				hypothetical protein
PL25_01297	gene	177				
PL25_01297	CDS	177				hypothetical protein
PL25_01298	gene	912				
PL25_01298	CDS	912				hypothetical protein
PL25_01299	gene	1443				
PL25_01299	CDS	1443				hypothetical protein
PL25_01300	gene	1245				
PL25_01300	CDS	1245				hypothetical protein
PL25_01301	gene	453				
PL25_01301	CDS	453				hypothetical protein
PL25_01302	gene	165				
PL25_01302	CDS	165				hypothetical protein
PL25_01303	gene	141				
PL25_01303	CDS	141				hypothetical protein
PL25_01304	gene	186				
PL25_01304	CDS	186				hypothetical protein
PL25_01305	gene	330				
PL25_01305	CDS	330				hypothetical protein
PL25_01306	gene	144				
PL25_01306	CDS	144				hypothetical protein
PL25_01307	gene	1191				
PL25_01307	CDS	1191				hypothetical protein
PL25_01308	gene	87				
PL25_01308	tRNA	87				tRNA-Ser(gct)
PL25_01309	gene	459				
PL25_01309	CDS	459				hypothetical protein
PL25_01310	gene	240				
PL25_01310	CDS	240				hypothetical protein
PL25_01311	gene	150				
PL25_01311	CDS	150				hypothetical protein
PL25_01312	gene	390				
PL25_01312	CDS	390				hypothetical protein
PL25_01313	gene	228				
PL25_01313	CDS	228				hypothetical protein
PL25_01314	gene	462				
PL25_01314	CDS	462				hypothetical protein
PL25_01315	gene	180				
PL25_01315	CDS	180				hypothetical protein
PL25_01316	gene	339				
PL25_01316	CDS	339				hypothetical protein
PL25_01317	gene	153				
PL25_01317	CDS	153				hypothetical protein
PL25_01318	gene	600				
PL25_01318	CDS	600				hypothetical protein
PL25_01319	gene	273				
PL25_01319	CDS	273				hypothetical protein
PL25_01320	gene	930				
PL25_01320	CDS	930				hypothetical protein
PL25_01321	gene	738				
PL25_01321	CDS	738				hypothetical protein
PL25_01322	gene	378	ssb_2			
PL25_01322	CDS	378	ssb_2		COG0629	Single-stranded DNA-binding protein
PL25_01323	gene	138				
PL25_01323	CDS	138				hypothetical protein
PL25_01324	gene	348				
PL25_01324	CDS	348				hypothetical protein
PL25_01325	gene	429				
PL25_01325	CDS	429				hypothetical protein
PL25_01326	gene	396				
PL25_01326	CDS	396				hypothetical protein
PL25_01327	gene	210				
PL25_01327	CDS	210				hypothetical protein
PL25_01328	gene	201				
PL25_01328	CDS	201				hypothetical protein
PL25_01329	gene	1278	dnaC_2			
PL25_01329	CDS	1278	dnaC_2	5.6.2.3	COG0305	Replicative DNA helicase DnaC
PL25_01330	gene	279				
PL25_01330	CDS	279				hypothetical protein
PL25_01331	gene	708				
PL25_01331	CDS	708				hypothetical protein
PL25_01332	gene	204				
PL25_01332	CDS	204				hypothetical protein
PL25_01333	gene	219				
PL25_01333	CDS	219				hypothetical protein
PL25_01334	gene	198				
PL25_01334	CDS	198				hypothetical protein
PL25_01335	gene	111				
PL25_01335	CDS	111				hypothetical protein
PL25_01336	gene	492				
PL25_01336	CDS	492				hypothetical protein
PL25_01337	gene	297				
PL25_01337	CDS	297				hypothetical protein
PL25_01338	gene	192				
PL25_01338	CDS	192				hypothetical protein
PL25_01339	gene	306				
PL25_01339	CDS	306				hypothetical protein
PL25_01340	gene	348				
PL25_01340	CDS	348				hypothetical protein
PL25_01341	gene	399				
PL25_01341	CDS	399				hypothetical protein
PL25_01342	gene	324				
PL25_01342	CDS	324				hypothetical protein
PL25_01343	gene	369				
PL25_01343	CDS	369				hypothetical protein
PL25_01344	gene	186				
PL25_01344	CDS	186				hypothetical protein
PL25_01345	gene	222				
PL25_01345	CDS	222				hypothetical protein
PL25_01346	gene	276				
PL25_01346	CDS	276				hypothetical protein
PL25_01347	gene	291				
PL25_01347	CDS	291				hypothetical protein
PL25_01348	gene	654				
PL25_01348	CDS	654				hypothetical protein
PL25_01349	gene	402				
PL25_01349	CDS	402				hypothetical protein
PL25_01350	gene	111				
PL25_01350	CDS	111				hypothetical protein
PL25_01351	gene	366				
PL25_01351	CDS	366				hypothetical protein
PL25_01352	gene	795				
PL25_01352	CDS	795				hypothetical protein
PL25_01353	gene	186				
